Egypt,86820.0,89390.0,92300.0,91830.0,86430.0,91870.0,96770.0,103960.0,109270.0,114670.0,112860.0,125010.0,127740.0,131240.0,142690.0,160590.0,169130.0,182230.0,189120.0,195490.0,196500.0,201610.0,212410.0,210430.0,216650.0,225950.0,233960.0,238690.0,246260.0
Eritrea,0.0,0.0,440.0,630.0,730.0,800.0,870.0,830.0,610.0,650.0,640.0,700.0,680.0,690.0,680.0,600.0,520.0,510.0,450.0,470.0,500.0,580.0,630.0,650.0,680.0,650.0,660.0,720.0,800.0
Spain,215020.0,222210.0,232480.0,218110.0,228460.0,240580.0,230100.0,248610.0,256220.0,278310.0,293310.0,294790.0,312750.0,318660.0,335560.0,350500.0,341780.0,354680.0,324160.0,287490.0,273250.0,274400.0,269270.0,242800.0,240960.0,256280.0,247030.0,263440.0,258340.0
Estonia,35020.0,31360.0,23780.0,18320.0,17880.0,16230.0,17210.0,16830.0,16260.0,15200.0,14820.0,15290.0,14860.0,16830.0,16920.0,17120.0,15890.0,19850.0,18290.0,14960.0,18880.0,18050.0,16780.0,19190.0,17820.0,15370.0,15650.0,16280.0,16000.0
Ethiopia,2310.0,2330.0,1520.0,1940.0,2260.0,2570.0,2870.0,3060.0,3230.0,3180.0,3560.0,4400.0,4570.0,5020.0,5330.0,5050.0,5400.0,6070.0,6880.0,6930.0,6470.0,7540.0,8460.0,10280.0,12330.0,12880.0,14950.0,15460.0,16280.0
Finland,54560.0,55130.0,52280.0,53460.0,59930.0,56090.0,62570.0,60620.0,57270.0,56510.0,55100.0,61090.0,63440.0,71710.0,67680.0,55460.0,67020.0,65100.0,56660.0,54180.0,62530.0,55120.0,49410.0,50190.0,46160.0,42820.0,45710.0,43010.0,44360.0
Fiji,730.0,730.0,760.0,750.0,750.0,760.0,820.0,800.0,780.0,800.0,850.0,1080.0,920.0,1080.0,1460.0,1280.0,1370.0,1260.0,960.0,970.0,1160.0,1110.0,1030.0,1130.0,1310.0,1510.0,1740.0,1810.0,1900.0
France,356540.0,380690.0,368660.0,349530.0,344480.0,352280.0,367960.0,359140.0,381180.0,375000.0,373240.0,376860.0,371170.0,376840.0,377950.0,380820.0,371600.0,362910.0,358210.0,343880.0,347940.0,333530.0,336330.0,336630.0,304530.0,310520.0,312710.0,316360.0,309960.0
Gabon,4130.0,4350.0,4610.0,4700.0,4440.0,4610.0,4720.0,4830.0,4930.0,4820.0,4670.0,4580.0,4330.0,4390.0,4430.0,4630.0,4040.0,4050.0,4130.0,4200.0,4770.0,5640.0,5830.0,5700.0,5500.0,5480.0,5710.0,4700.0,4610.0
United Kingdom,556690.0,570340.0,552980.0,540520.0,535390.0,524290.0,544660.0,522330.0,525030.0,522360.0,530120.0,544480.0,530230.0,542080.0,542320.0,540600.0,541640.0,529160.0,514410.0,465120.0,481790.0,444420.0,467080.0,453060.0,414850.0,400370.0,378890.0,366380.0,358800.0
